text	date	name
ger000156	1785	Friedrike
ger000156	1785	Kordelchen
ger000156	1785	Pastor
ger000156	1785	Wirtin
ger000156	1785	Bärbel
ger000156	1785	Gerichtsschreiber
ger000156	1785	Romann
ger000156	1785	Kappe
ger000156	1785	Amtmann
ger000022	1906	Kellner
ger000022	1906	Direktor
ger000022	1906	Held
ger000022	1906	Liesl
ger000022	1906	Herzog
ger000022	1906	Herzogin
ger000022	1906	Heiterer
ger000022	1906	Ernster
ger000022	1906	Kanzelist
ger000022	1906	Bräutigam
ger000022	1906	Meister
ger000114	1898	von Marschall
ger000114	1898	von Grobitzsch
ger000114	1898	Moritz Diesterbeg
ger000114	1898	Peter von Ramberg
ger000114	1898	Fritz von der Leyen
ger000114	1898	Tiedemann
ger000114	1898	Paul von Ramberg
ger000114	1898	Glahn
ger000114	1898	Benno von Klewitz
ger000114	1898	Meitzen
ger000114	1898	Hans Rudorff
ger000114	1898	Harold
ger000114	1898	Drewes 
ger000114	1898	Kommandostimme
ger000114	1898	Heinrich
ger000114	1898	Joseph Wachowiock
ger000114	1898	Schmitz
ger000114	1898	Traute
ger000419	1921	Bohle
ger000419	1921	Jülf
ger000419	1921	Ohm
ger000419	1921	Paster
ger000419	1921	Maike
ger000701	1819	Goethe
ger000701	1819	Lenz
ger000701	1819	Siebenter 
ger000701	1819	Hagedorn
ger000701	1819	Lafontaine
ger000701	1819	Altes Weib
ger000701	1819	Moliere
ger000701	1819	Rabener
ger000701	1819	Rabelais
ger000701	1819	Scarron
ger000701	1819	Klotz
ger000701	1819	Chaulieu
ger000701	1819	Chapelle
ger000701	1819	Wieland
ger000701	1819	Jacobi
ger000701	1819	Küster
ger000701	1819	Pfarrer
ger000701	1819	Frau Pfarr
ger000701	1819	Küsters Frau
ger000701	1819	Weiße
ger000701	1819	Schmidt
ger000701	1819	Michaelis
ger000701	1819	Lessing
ger000701	1819	Herder
ger000701	1819	Shakespear
ger000701	1819	Klopstock
ger000343	1912	Hochroitzpointner
ger000343	1912	Schwester Ludmilla
ger000343	1912	Oskar
ger000343	1912	Bernhardi
ger000343	1912	Kurt
ger000343	1912	Ebenwald
ger000343	1912	Tugendvetter
ger000343	1912	Adler
ger000343	1912	Cyprian
ger000343	1912	Pfarrer
ger000343	1912	Feuermann
ger000343	1912	Filitz
ger000343	1912	Löwenstein
ger000343	1912	Flint
ger000343	1912	Schreimann
ger000343	1912	Pflugfelder
ger000343	1912	Wenger
ger000343	1912	Goldenthal
ger000343	1912	Kulka
ger000343	1912	Hofrat
ger000366	1845	Anton
ger000366	1845	Joseph
ger000366	1845	Christian
ger000366	1845	Gluthammer
ger000366	1845	Kathi
ger000366	1845	Stifler
ger000366	1845	Wixer
ger000366	1845	Lips
ger000366	1845	Sporner
ger000366	1845	Madame Schleier
ger000366	1845	Krautkopf
ger000366	1845	Justitiär
ger000421	1904	Hannibal Plagemann
ger000421	1904	Katharina Kittel
ger000421	1904	Meta von Lohmeyer
ger000421	1904	Max Pax
ger000421	1904	Theophil Knipski
ger000421	1904	Strick
ger000421	1904	Schlammberger
ger000421	1904	Reitzer
ger000421	1904	Finkenstein
ger000421	1904	Oberkellner
ger000038	1803	König
ger000038	1803	Herzog
ger000038	1803	Graf
ger000038	1803	Eugenie
ger000038	1803	Sekretär
ger000038	1803	Hofmeisterin
ger000038	1803	Weltgeistlicher
ger000038	1803	Gerichtsrat
ger000038	1803	Gouverneur
